,NU_IDADE,TP_SEXO,TP_ESCOLA,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,acertos_mat
565504,18,F,1,516.0,443.5,547.8,561.3,12
570365,17,F,2,516.0,497.4,423.5,457.4,6
573746,24,F,1,516.0,512.8,498.4,571.2,4
577614,21,F,2,516.0,483.6,453.8,522.2,15
577950,19,F,1,518.0,393.3,412.9,447.2,9
581423,20,M,1,515.0,466.9,454.8,481.4,12
584675,19,F,1,518.0,444.8,556.3,553.0,6
595413,34,M,1,517.0,543.9,526.2,599.3,34
601498,22,F,1,517.0,357.7,490.0,518.3,10
602337,22,F,1,518.0,527.5,525.8,541.5,9
602340,17,F,2,516.0,562.7,550.1,523.0,10
608583,19,M,1,518.0,581.6,603.8,607.4,19
609226,17,F,2,516.0,391.5,333.0,412.5,11
613655,38,F,1,516.0,465.0,507.9,550.6,6
615551,17,F,2,515.0,383.7,410.6,424.1,10
616239,17,F,2,517.0,468.7,427.0,347.1,11
617416,18,F,1,515.0,428.5,488.7,522.6,13
690245,18,F,2,516.0,502.2,549.9,544.4,6
718339,22,F,1,517.0,582.7,604.1,557.0,12
791172,17,F,2,516.0,516.0,468.1,524.6,11
792243,55,M,1,516.0,494.3,529.7,509.8,8
798450,20,F,1,516.0,528.2,584.7,570.9,17
808553,18,F,1,518.0,490.5,503.9,555.6,15
809987,19,F,1,517.0,473.5,506.2,531.9,8
810891,17,M,2,517.0,466.1,522.0,504.4,7
811323,47,M,1,515.0,447.8,539.0,517.6,18
811612,23,F,1,517.0,532.9,616.1,565.1,14
813114,26,M,1,518.0,433.7,460.3,510.2,15
816621,18,M,1,515.0,405.7,453.8,519.7,13
820149,26,F,1,517.0,406.5,533.6,508.1,6
820248,18,F,1,518.0,358.2,405.7,409.9,10
822673,17,F,2,515.0,475.1,524.7,546.3,9
829482,17,M,2,517.0,411.5,380.5,436.1,15
829766,16,F,1,517.0,402.6,517.4,449.7,8
829894,21,F,1,518.0,590.5,658.1,620.3,18
832007,25,F,1,516.0,588.8,578.9,568.3,26
834236,19,F,1,515.0,442.9,355.4,514.8,12
837766,16,F,1,517.0,440.7,373.5,356.1,7
838544,22,F,1,515.0,445.0,508.9,484.2,8
843274,17,F,2,516.0,420.3,439.7,510.3,7
847396,21,M,1,515.0,626.2,630.1,582.3,21
859105,20,F,1,517.0,359.2,465.5,432.5,9
876036,18,M,1,516.0,477.3,433.9,467.3,10
883634,15,M,1,516.0,432.8,442.4,431.3,11
886939,18,F,1,516.0,386.5,555.0,577.5,7
1075353,24,F,1,518.0,497.1,536.9,632.0,11
1076903,20,F,1,518.0,527.0,510.7,551.4,8
1077741,32,M,1,517.0,521.6,573.8,534.6,13
1083272,21,F,1,518.0,479.6,491.2,555.3,8
1084557,23,M,1,515.0,414.5,373.3,418.0,8
1088528,17,F,2,518.0,541.0,593.1,586.1,9
1091693,21,F,1,517.0,380.1,501.4,550.9,8
1093732,26,F,1,516.0,567.1,618.5,608.3,13
1097408,17,M,2,517.0,437.2,521.0,512.0,11
1097765,20,F,1,518.0,410.4,463.4,527.8,9
1100115,18,F,2,516.0,625.7,596.5,656.4,16
